Internal Tech Name, Tier, Area, Category, Prerequisites, Starting Tech, Faction, Unlock Year
"Nanite Tubing", 2, engineering, materials, , no, -1
"Antimatter Payloads", 3, engineering, materials, , no, -1
"Dual Field Cases", 2, engineering, propulsion, , no, -1
"Relativity Accelerators", 3, engineering, propulsion, "Dual Field Cases", no, -1
"Plasma Charges", 0, engineering, materials, , yes, -1
"Metreon Particle Stabilization", 2, engineering, materials, "Plasma Charges", no, -1
"Tricobalt Distortion Analysis", 3, engineering, materials, "Metreon Particle Stabilization", no, -1
"Tritanium Hull Plating", 0, engineering, materials, , yes, -1
"Duranium Hull Lining", 2, engineering, materials, "Tritanium Hull Plating", no, -1
"Tetraburnium Hull Retrofitting", 3, engineering, materials, "Duranium Hull Lining", no, -1
"Neutronium Hull Plating", 4, engineering, materials, "Tetraburnium Hull Retrofitting", no, -1
"Improved Plasma Storage", 0, engineering, materials, , yes, -1
"Modular Reactors", 2, engineering, materials, "Improved Plasma Storage", no, -1
"Antimatter Batteries", 4, engineering, materials, "Modular Reactors", no, -1
"Thrust Regenerators", 1, engineering, propulsion, , no, -1
"G-Reducers", 4, engineering, propulsion, "Thrust Regenerators", no, -1
"Electro-Plasma Propulsion", 0, engineering, propulsion, , yes, -1
"Improved Energy Production", 1, engineering, propulsion, "Electro-Plasma Propulsion", no, -1
"Twin-Engine Retrofit", 3, engineering, propulsion, "Improved Energy Production", no, -1
"Quark Particle Stabilization", 4, engineering, propulsion, "Twin-Engine Retrofit", no, -1
"Mineral Ore Refining", 1, engineering, materials, , no, -1
"Mineral Refining Safety Protocols", 2, engineering, materials, "Mineral Ore Refining", no, -1
"Superior Alloys", 0, engineering, industry, , yes, -1
"Streamlined Alloys", 1, engineering, industry, "Superior Alloys", no, -1
"Optimized Alloys", 3, engineering, industry, "Streamlined Alloys", no, -1
"Improved Matter-Energy Conversion", 1, engineering, industry, "Superior Alloys", no, -1
"Advanced Matter-Energy Conversion", 3, engineering, industry, "Improved Matter-Energy Conversion", no, -1
"Industrial Chain-Linking", 3, engineering, industry, "Streamlined Alloys", no, -1
"Dilithium Filtration System", 2, engineering, industry, , no, -1
"Tetryon Filtration System", 2, engineering, industry, , no, -1
"Graviton Filtration System", 3, engineering, industry, , no, -1
"Nanite Filtration System", 3, engineering, industry, , no, -1
"Dilithium Extraction", 0, engineering, industry, , yes, -1
"Tetryon Extraction", 0, engineering, industry, , yes, -1
"Maintenance Schedules", 3, engineering, materials, , no, -1
"Quantum Encryption", 4, engineering, materials, , no, -1
"Cryo-Fracking", 1, engineering, industry, , no, -1
"Starbase Shipyards", 0, engineering, propulsion, , yes, -1
"Starbase Strategic Commands", 0, engineering, propulsion, , yes, -1
"Starbase Energy Reserves", 1, engineering, industry, "Plasma Turbines", no, -1
"Celestial Holo-Planning", 1, engineering, industry, , no, -1
"Integrated Infrastructures", 2, engineering, industry, "Celestial Holo-Planning", no, -1
"Shipyard Overhaul", 1, engineering, voidcraft, , no, -1
"Micro-Replaceable Parts", 3, engineering, voidcraft, "Shipyard Overhaul", no, -1
"Self-Repairing Mechanisms", 5, engineering, voidcraft, "Micro-Replaceable Parts", no, -1
"Automated Construction", 1, engineering, industry, , no, -1
"Verdant Cities", 2, engineering, industry, "Automated Construction", no, -1
"Cloaked Mines", 4, engineering, propulsion, "Mine Patterns", no, -1
"Escape Pods", 1, engineering, voidcraft, , no, -1
"Improved Dilithium Mining I", 2, engineering, materials, , no, -1
"Improved Dilithium Mining II", 3, engineering, materials, "Improved Dilithium Mining I", no, -1
"Improved Dilithium Mining III", 4, engineering, materials, "Improved Dilithium Mining II", no, -1
"Quantum Stabilization I", 2, engineering, materials, , no, -1
"Quantum Stabilization II", 3, engineering, materials, "Quantum Stabilization I", no, -1
"Quantum Stabilization III", 4, engineering, materials, "Quantum Stabilization II", no, -1
"Advanced Warp Nacelle", 2, engineering, propulsion, , no, -1
"Nadion Weaponization", 0, physics, particles, , yes, -1
